city,date,energy_usage
Chicago,2025-07-21,2153325
Chicago,2025-07-21,2190175
Chicago,2025-07-21,2185136
Chicago,2025-07-21,2180235
Chicago,2025-07-21,2187742
Chicago,2025-07-21,2190175
Chicago,2025-07-21,2099368
Chicago,2025-07-21,2097040
Chicago,2025-07-21,2094589
Chicago,2025-07-21,2098423
Chicago,2025-07-21,2099368
Chicago,2025-07-21,-89686
Chicago,2025-07-21,-85582
Chicago,2025-07-21,-85305
Chicago,2025-07-21,-87331
Chicago,2025-07-21,-89686
Chicago,2025-07-20,2022536
Chicago,2025-07-20,2022369
Chicago,2025-07-20,2021407
Chicago,2025-07-20,2022657
Chicago,2025-07-20,2022536
Chicago,2025-07-20,2005926
Chicago,2025-07-20,2002095
Chicago,2025-07-20,2001756
Chicago,2025-07-20,2004088
Chicago,2025-07-20,2005926
Chicago,2025-07-20,1995258
Chicago,2025-07-20,1995000
Chicago,2025-07-20,1993260
Chicago,2025-07-20,1996043
Chicago,2025-07-20,1995258
Chicago,2025-07-20,-60888
Chicago,2025-07-20,-61129
Chicago,2025-07-20,-61695
Chicago,2025-07-20,-60435
Chicago,2025-07-20,-60888
Chicago,2025-07-19,2003463
Chicago,2025-07-19,2001206
Chicago,2025-07-19,2000315
Chicago,2025-07-19,2002347
Chicago,2025-07-19,2003463
Chicago,2025-07-19,2008424
Chicago,2025-07-19,2007212
Chicago,2025-07-19,2006939
Chicago,2025-07-19,2008182
Chicago,2025-07-19,2008424
Chicago,2025-07-19,1960508
Chicago,2025-07-19,1959363
Chicago,2025-07-19,1959527
Chicago,2025-07-19,1959524
Chicago,2025-07-19,1960508
Chicago,2025-07-19,-76801
Chicago,2025-07-19,-75525
Chicago,2025-07-19,-74475
Chicago,2025-07-19,-76564
Chicago,2025-07-19,-76801
Chicago,2025-07-18,2015991
Chicago,2025-07-18,2012567
Chicago,2025-07-18,2010455
Chicago,2025-07-18,2014432
Chicago,2025-07-18,2015991
Chicago,2025-07-18,2042520
Chicago,2025-07-18,2046127
Chicago,2025-07-18,2047922
Chicago,2025-07-18,2044145
Chicago,2025-07-18,2042520
Chicago,2025-07-18,1995053
Chicago,2025-07-18,1993697
Chicago,2025-07-18,1993817
Chicago,2025-07-18,1994389
Chicago,2025-07-18,1995053
Chicago,2025-07-18,-54421
Chicago,2025-07-18,-52194
Chicago,2025-07-18,-50090
Chicago,2025-07-18,-53386
Chicago,2025-07-18,-54421
Chicago,2025-07-17,2033108
Chicago,2025-07-17,2044405
Chicago,2025-07-17,2050840
Chicago,2025-07-17,2038500
Chicago,2025-07-17,2033108
Chicago,2025-07-17,2165209
Chicago,2025-07-17,2178570
Chicago,2025-07-17,2185404
Chicago,2025-07-17,2171617
Chicago,2025-07-17,2165209
Chicago,2025-07-17,2069033
Chicago,2025-07-17,2084944
Chicago,2025-07-17,2090903
Chicago,2025-07-17,2077105
Chicago,2025-07-17,2069033
Chicago,2025-07-17,-1197
Chicago,2025-07-17,2750
Chicago,2025-07-17,1839
